Value,Disaggregation combinations using this value,Number of indicators
East Midlands,1523,41
East of England,1104,14
East,659,27
England,10,1
Inner London,1235,3
London,3656,40
North East,1671,41
North West,2823,41
Northern Ireland,19,4
Outer London,1647,3
Scotland,22,4
South East,2631,41
South West,2262,41
Wales,27,9
West Midlands,1979,41
Yorkshire and the Humber,55,9
Yorkshire and The Humber,1979,32
