Indicator
#14-3-1
#14-5-1
#15-1-2
#15-4-1
#15-5-1
#2-1-2
#2-2-3
#3-1-1
#3-3-2
#3-4-1
#3-4-2
#3-5-2
#3-6-1
#3-9-3
#5-2-1
