Indicator
#1-4-1
#1-a-2
#10-1-1
#10-6-1
#10-a-1
#12-2-2
#16-8-1
#2-a-1
#3-2-1
#3-5-2
#3-b-2
#3-c-1
#3-d-1
#6-2-1
#6-5-1
#6-6-1
#7-1-1
#8-4-2
#8-9-1
