Indicator,Disaggregation combinations using this value
#1-3-1,4
#16-2-2,5
#16-7-1,5
#2-1-2,20
#3-2-1,4
#3-4-1,25
#3-4-2,9
#3-5-1,1
#3-5-2,5
#3-6-1,5
#3-9-3,4
#3-a-1,1
#3-c-1,2
#4-1-1,2
#4-1-2,7
#4-2-2,1
#4-3-1,1
#4-4-1,8
#4-6-1,2
#5-4-1,36
#5-5-1,7
#8-10-2,1
#8-5-1,30
#8-5-2,12
#8-6-1,2
#8-8-1,13
