Indicator
#10-4-2
#10-6-1
#10-7-2
#12-1-1
#12-3-1
#12-4-2
#12-6-1
#14-1-1
#15-4-2
#15-9-1
#16-7-1
#16-8-1
#17-6-1
#3-4-1
#3-d-1
#4-1-1
#4-4-1
#4-5-1
#4-6-1
#6-6-1
#8-8-1
#9-1-2
