Indicator
#1-3-1
#1-4-1
#1-5-1
#1-5-4
#10-5-1
#10-6-1
#10-c-1
#11-5-1
#11-b-2
#12-1-1
#12-2-2
#12-3-1
#12-4-1
#12-4-2
#12-8-1
#12-b-1
#12-c-1
#13-1-1
#13-1-3
#13-3-1
#14-1-1
#14-5-1
#14-c-1
#15-1-1
#15-1-2
#15-2-1
#15-6-1
#15-8-1
#15-9-1
#16-2-2
#16-7-1
#16-8-1
#16-a-1
#17-1-1
#17-12-1
#17-13-1
#17-15-1
#17-19-2
#17-2-1
#17-6-1
#2-1-2
#2-2-3
#2-5-1
#2-a-1
#3-2-1
#3-2-2
#3-4-1
#3-4-2
#3-8-2
#3-9-1
#3-b-1
#3-c-1
#3-d-2
#4-5-1
#4-7-1
#5-1-1
#5-4-1
#5-5-1
#5-5-2
#5-6-2
#6-2-1
#6-3-2
#6-5-1
#6-5-2
#6-6-1
#8-10-1
#8-4-2
#8-5-2
#8-8-1
#8-a-1
#9-1-2
#9-2-1
#9-4-1
#9-c-1
