Indicator,Disaggregation combinations using this value
#1-5-4,1
#11-b-2,1
#12-4-2,3
#12-c-1,1
#13-1-3,1
#14-1-1,3
#14-5-1,20
#15-1-1,1
#15-2-1,3
#16-7-1,2
#17-1-1,1
#17-13-1,15
#17-2-1,7
#2-1-2,30
#2-a-1,3
#3-4-1,15
#3-c-1,4
#5-5-1,4
#6-6-1,15
#9-2-1,2
