Indicator
#1-3-1
#16-2-2
#16-7-1
#2-1-2
#3-2-1
#3-4-1
#3-4-2
#3-5-1
#3-5-2
#3-6-1
#3-9-3
#3-a-1
#3-c-1
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#4-6-1
#5-4-1
#5-5-1
#8-10-2
#8-5-1
#8-5-2
#8-6-1
#8-8-1
