Indicator,Disaggregation combinations using this value
#1-5-1,2
#1-5-4,2
#11-5-1,2
#11-b-2,2
#13-1-1,2
#13-1-3,2
#14-1-1,1
#16-7-1,13
#17-6-1,17
#2-1-2,30
#3-2-1,6
#3-2-2,1
#3-4-1,60
#3-4-2,15
#5-5-1,4
