Indicator
#10-6-1
#12-4-1
#12-4-2
#14-1-1
#14-5-1
#15-1-1
#15-2-1
#15-6-1
#15-8-1
#15-9-1
#16-8-1
#17-13-1
#17-19-2
#17-6-1
#17-8-1
#2-5-1
#2-a-1
#3-7-2
#3-8-2
#3-b-1
#3-d-1
#4-1-1
#4-1-2
#4-4-1
#4-5-1
#5-4-1
#5-5-1
#8-5-2
#9-1-2
#9-4-1
#9-c-1
