Value,Disaggregation combinations using this value,Number of indicators
Constant USD,9,3
Hectares,4,2
Index,2,1
Kilograms per constant USD,36,3
Kilograms,4,2
Local currency,1,1
Metric Tons,75,5
Number,159,15
Passenger kilometres,5,1
Per 100 population,5,1
"Per 1,000 live births",7,2
"Per 10,000 population",4,1
"Per 100,000 population",16,4
Percent,132,20
Ratio,7,2
Square kilometers,6,2
Tonne kilometres,7,1
Tonnes per hectare,1,1
Twenty-foot equivalent units (TEUs),1,1
USD,1,1
