Value,Disaggregation combinations using this value,Number of indicators
C01,2,2
C02,2,2
C03,2,2
C04,2,1
C08,2,1
C100,2,1
C144,2,1
C156,2,1
C231,2,1
C232,2,1
C270,2,1
C288,2,1
C356,2,1
C388,2,1
C404,2,1
C422,2,1
C440,2,1
C50,2,1
C524,2,1
C566,2,1
C586,2,1
C608,2,1
C616,2,1
C642,2,1
C646,2,1
C694,2,1
C704,2,1
C706,2,1
C710,2,1
C716,2,1
C728,2,1
C76,2,1
C764,2,1
C800,2,1
C834,2,1
C894,2,1
