Indicator
#1-5-1
#1-5-4
#11-5-1
#11-b-2
#12-2-2
#12-3-1
#12-4-2
#12-c-1
#13-1-1
#13-1-3
#14-1-1
#14-5-1
#15-1-1
#15-2-1
#16-7-1
#17-1-1
#17-13-1
#17-2-1
#17-6-1
#2-1-2
#2-a-1
#3-2-1
#3-2-2
#3-4-1
#3-4-2
#3-c-1
#5-5-1
#6-6-1
#8-4-2
#9-1-2
#9-2-1
#9-4-1
