Indicator
#10-c-1
#12-4-2
#14-3-1
#14-5-1
#15-1-1
#15-2-1
#15-6-1
#15-8-1
#16-2-2
#16-7-1
#16-a-1
#17-12-1
#17-13-1
#17-19-2
#17-2-1
#17-6-1
#2-5-1
#2-a-1
#3-b-1
#3-d-1
#3-d-2
#4-1-2
#4-5-1
#5-4-1
#5-5-1
#5-6-2
#6-2-1
#6-4-1
#8-5-2
#8-8-1
#8-a-1
#9-2-2
#9-c-1
