Year,Value,GeoCode,Observation status,Unit multiplier
2004/05,4.19096231225,,Undefined,Units
2005/06,5.01776424034617,,Undefined,Units
2006/07,4.79379517868384,,Undefined,Units
2007/08,4.45549788356678,,Undefined,Units
2008/09,3.73153780547564,,Undefined,Units
2009/10,3.35459817399144,,Undefined,Units
2010/11,3.81998096821363,,Undefined,Units
2011/12,4.18977866652331,,Undefined,Units
2012/13,3.01801724297058,,Undefined,Units
2013/14,2.22999072351882,,Undefined,Units
2014/15,2.70676542756478,,Undefined,Units
2015/16,3.22986503083923,,Undefined,Units
2016/17,3.07941902878173,,Undefined,Units
2017/18,4.222980180484632,,Undefined,Units
