Year,Value,SERIES
2000,1.4624,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2005,1.34616,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2010,1.14315,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2011,1.1386,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2012,1.15028,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2013,1.14885,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2014,1.16077,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2015,1.31898,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2016,1.28461,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2017,1.25822,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2018,1.20337,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2019,1.18717,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2000,1.43239,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2005,1.3183,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2010,1.10921,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2011,1.10467,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2012,1.116,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2013,1.11449,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2014,1.12612,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2015,1.28469,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2016,1.25015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2017,1.1204,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2018,1.05502,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2019,0.94959,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
