Year,Value
2004,59.9
2005,59.2
2006,59.8
2007,60.3
2008,59.7
2009,61.3
2010,61.2
2011,59.6
2012,59.4
2013,58.9
2014,58.5
2015,57.8
2016,57.9
2017,58.0
