Year,Value,SERIES
2020,1,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO) [12.1.1]
2020,12,"Number of policies, instruments and mechanism in place for sustainable consumption and production [12.1.1]"
