Year,Value,UNIT_MEASURE,SERIES
2005,63.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2006,50.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2007,46.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2008,48.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2009,70.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2010,49.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2011,49.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2012,45.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2013,58.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2014,32.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,80.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,44.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,62.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,88.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,41.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2005,63.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2006,50.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2007,46.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2008,48.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2009,70.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2010,49.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2011,49.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2012,45.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2013,58.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2014,32.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2015,80.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2016,44.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2017,62.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,88.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,41.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2005,0.10428,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2006,0.08276,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2007,0.07502,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2008,0.07764,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2009,0.11243,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2010,0.07808,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2011,0.07743,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2012,0.07064,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2013,0.09048,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2014,0.04954,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2015,0.12287,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2016,0.06702,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2017,0.09388,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2018,0.13246,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2019,0.06138,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
