Year,Value,SERIES
2000,34.5,Proportion of women in managerial positions [5.5.2]
2001,30.85,Proportion of women in managerial positions [5.5.2]
2002,32.5,Proportion of women in managerial positions [5.5.2]
2003,32.3,Proportion of women in managerial positions [5.5.2]
2004,33.07,Proportion of women in managerial positions [5.5.2]
2005,34.32,Proportion of women in managerial positions [5.5.2]
2006,34.6,Proportion of women in managerial positions [5.5.2]
2007,34.44,Proportion of women in managerial positions [5.5.2]
2008,34.87,Proportion of women in managerial positions [5.5.2]
2009,35.56,Proportion of women in managerial positions [5.5.2]
2010,35.68,Proportion of women in managerial positions [5.5.2]
2011,34.56,Proportion of women in managerial positions [5.5.2]
2012,34.38,Proportion of women in managerial positions [5.5.2]
2013,33.95,Proportion of women in managerial positions [5.5.2]
2014,35.29,Proportion of women in managerial positions [5.5.2]
2015,35.36,Proportion of women in managerial positions [5.5.2]
2016,35.99,Proportion of women in managerial positions [5.5.2]
2017,36.15,Proportion of women in managerial positions [5.5.2]
2018,36.28,Proportion of women in managerial positions [5.5.2]
2019,36.83,Proportion of women in managerial positions [5.5.2]
2000,34.69,Proportion of women in senior and middle management positions [5.5.2]
2001,29.62,Proportion of women in senior and middle management positions [5.5.2]
2002,31.39,Proportion of women in senior and middle management positions [5.5.2]
2003,31.47,Proportion of women in senior and middle management positions [5.5.2]
2004,32.46,Proportion of women in senior and middle management positions [5.5.2]
2005,33.61,Proportion of women in senior and middle management positions [5.5.2]
2006,34.26,Proportion of women in senior and middle management positions [5.5.2]
2007,34.35,Proportion of women in senior and middle management positions [5.5.2]
2008,34.75,Proportion of women in senior and middle management positions [5.5.2]
2009,35.38,Proportion of women in senior and middle management positions [5.5.2]
2010,35.98,Proportion of women in senior and middle management positions [5.5.2]
2011,32.12,Proportion of women in senior and middle management positions [5.5.2]
2012,32.39,Proportion of women in senior and middle management positions [5.5.2]
2013,32.31,Proportion of women in senior and middle management positions [5.5.2]
2014,32.86,Proportion of women in senior and middle management positions [5.5.2]
2015,32.4,Proportion of women in senior and middle management positions [5.5.2]
2016,33.78,Proportion of women in senior and middle management positions [5.5.2]
2017,34.36,Proportion of women in senior and middle management positions [5.5.2]
2018,34.22,Proportion of women in senior and middle management positions [5.5.2]
2019,34.91,Proportion of women in senior and middle management positions [5.5.2]
