From,To
REPORTING_TYPE,Safely managed element
REPORTING_TYPE,Service level
REPORTING_TYPE,Facility type
REPORTING_TYPE,URBANISATION
OBS_STATUS,UNIT_MULT
UNIT_MULT,REPORTING_TYPE
