From,To
REPORTING_TYPE,Water resources management sub-category
OBS_STATUS,REPORTING_TYPE
REPORTING_TYPE,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,FREQ
