Year,COMMENT_OBS,SERIES,SEX,AGE,Value
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,F,Y55T64,14.53332
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,F,Y55T64,11.32431
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y_GE15,6.69087
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y_GE15,5.69444
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y_GE65,10.99153
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y_GE65,9.57463
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y15T24,2.21516
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y15T24,2.23645
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y25T44,5.67419
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y25T44,4.37035
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y45T54,7.17051
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y45T54,5.71683
2001,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y55T64,8.72478
2015,Travel related to unpaid domestic work is not included.,SL_DOM_TSPDDC,M,Y55T64,6.89663
