Year,Value
2000/01,30.5
2001/02,31.1
2002/03,28.0
2003/04,25.5
2004/05,25.0
2005/06,24.8
2006/07,25.2
2007/08,25.9
2008/09,24.4
2009/10,21.9
2010/11,20.3
2011/12,19.5
2012/13,18.0
2013/14,19.7
2014/15,20.8
2015/16,18.8
2016/17,19.9
2017/18,20.6
2018/19,21.7
2019/20,21.1
