Year,UPPER_BOUND,LOWER_BOUND,Value
2000,11,10,10
2001,11,10,11
2002,11,10,11
2003,12,11,11
2004,12,11,11
2005,12,10,11
2006,12,10,11
2007,11,10,11
2008,11,10,11
2009,11,10,10
2010,10,9,10
2011,10,9,9
2012,9,8,8
2013,8,8,8
2014,8,7,8
2015,8,7,8
2016,8,6,7
2017,8,6,7
