Year,Value
1969,9
1974,7
1979,7
1986,12
1991,13
1994,13
1995,15
1999,14
2004,14
2005,14
2006,13
2007,13
2008,12
2009,13
2010,12
2011,12
2012,12
2013,13
2014,13
2015,11
2016,13
