Year,Value
2000,0.185
2001,0.176
2002,0.266
2003,0.245
2004,0.235
2005,0.222
2006,0.28
2007,0.322
2008,0.293
2009,0.247
2010,0.24
2011,0.234
2012,0.232
2013,0.215
2014,0.209
2015,0.194
2016,0.118
2017,0.127
2018,0.125
2019,0.102
2020,0.099
