Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2005,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,54.05
2006,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,53.39
2007,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,52.484
2008,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,50.9
2009,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,42.14
2010,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,43.876
2011,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,39.148
2012,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,39.201
2013,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,39.856
2014,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,39.509
2015,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,37.823
2016,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,30.638
2017,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,31.479
2018,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,30.393
2000,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.23181
2001,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.23149
2002,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.22026
2003,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.21828
2004,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.21319
2005,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,Units,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",2017,2017,0.20594
