Year,Value
2000,4.16
2001,4.05
2002,3.9
2003,3.85
2004,3.71
2005,3.61
2006,3.46
2007,3.25
2008,3.23
2009,3.17
2010,3.22
2011,2.94
2012,2.98
2013,2.87
2014,2.64
2015,2.6
2016,2.51
2017,2.43
2018,2.38
