Year,SERIES,Value
2005,FB_ATM_TOTL,117.648614233714
2006,FB_ATM_TOTL,120.937956776141
2007,FB_ATM_TOTL,125.802108344717
2008,FB_ATM_TOTL,125.562283428586
2009,FB_ATM_TOTL,121.152025005878
2010,FB_ATM_TOTL,121.921205690789
2011,FB_ATM_TOTL,123.415449565063
2012,FB_ATM_TOTL,125.92340945771
2013,FB_ATM_TOTL,128.513274640505
2014,FB_ATM_TOTL,129.513532531153
2015,FB_ATM_TOTL,131.285520132908
2016,FB_ATM_TOTL,129.497095016931
2017,FB_ATM_TOTL,127.937515471829
2018,FB_ATM_TOTL,115.442056623269
2019,FB_ATM_TOTL,110.279328912234
2004,FB_CBK_BRCH,29.0259600420828
2005,FB_CBK_BRCH,28.3171329150186
2006,FB_CBK_BRCH,26.4304276443193
2007,FB_CBK_BRCH,26.380866219934
2008,FB_CBK_BRCH,26.0275156947452
2009,FB_CBK_BRCH,25.4113794206217
2010,FB_CBK_BRCH,24.6989547970729
2011,FB_CBK_BRCH,24.0565123847324
2012,FB_CBK_BRCH,22.0833414414752
2013,FB_CBK_BRCH,25.1399141642588
