Year,Value,UNIT_MEASURE,SERIES
2000,3.8,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2001,3.7,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2002,3.6,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2003,3.6,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2004,3.5,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2005,3.5,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2006,3.4,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2007,3.3,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2008,3.2,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2009,3.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2010,3.0,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2011,3.0,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2012,2.9,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2013,2.8,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2014,2.7,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2015,2.7,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2016,2.7,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2017,2.8,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2018,2.8,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2019,2.8,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2000,2636.0,NUMBER,SH_DYN_NMRTN
2001,2554.0,NUMBER,SH_DYN_NMRTN
2002,2497.0,NUMBER,SH_DYN_NMRTN
2003,2482.0,NUMBER,SH_DYN_NMRTN
2004,2494.0,NUMBER,SH_DYN_NMRTN
2005,2512.0,NUMBER,SH_DYN_NMRTN
2006,2525.0,NUMBER,SH_DYN_NMRTN
2007,2527.0,NUMBER,SH_DYN_NMRTN
2008,2509.0,NUMBER,SH_DYN_NMRTN
2009,2476.0,NUMBER,SH_DYN_NMRTN
2010,2430.0,NUMBER,SH_DYN_NMRTN
2011,2373.0,NUMBER,SH_DYN_NMRTN
2012,2305.0,NUMBER,SH_DYN_NMRTN
2013,2235.0,NUMBER,SH_DYN_NMRTN
2014,2182.0,NUMBER,SH_DYN_NMRTN
2015,2157.0,NUMBER,SH_DYN_NMRTN
2016,2154.0,NUMBER,SH_DYN_NMRTN
2017,2158.0,NUMBER,SH_DYN_NMRTN
2018,2156.0,NUMBER,SH_DYN_NMRTN
2019,2142.0,NUMBER,SH_DYN_NMRTN
