Year,Value
2002,1.54708
2003,5.40591
2004,0.29872
2006,11.05074
2007,6.70425
2008,23.72474
2009,60.62548
2010,175.90441
2011,83.80626
2012,66.27194
2013,215.54299
2014,201.82128
2015,422.43227
2016,304.5904
2017,285.54993
2018,979.88261
