Year,Value,UNIT_MEASURE,SERIES
2000,12.37611,T,EN_MAT_DOMCMPC
2001,12.62861,T,EN_MAT_DOMCMPC
2002,12.1559,T,EN_MAT_DOMCMPC
2003,11.98774,T,EN_MAT_DOMCMPC
2004,12.25269,T,EN_MAT_DOMCMPC
2005,12.01986,T,EN_MAT_DOMCMPC
2006,12.08438,T,EN_MAT_DOMCMPC
2007,11.78107,T,EN_MAT_DOMCMPC
2008,11.03813,T,EN_MAT_DOMCMPC
2009,9.41631,T,EN_MAT_DOMCMPC
2010,9.09247,T,EN_MAT_DOMCMPC
2011,9.14647,T,EN_MAT_DOMCMPC
2012,8.76987,T,EN_MAT_DOMCMPC
2013,8.87034,T,EN_MAT_DOMCMPC
2014,8.88404,T,EN_MAT_DOMCMPC
2015,8.40725,T,EN_MAT_DOMCMPC
2016,8.12198,T,EN_MAT_DOMCMPC
2017,7.84017,T,EN_MAT_DOMCMPC
2000,729581972.519,T,EN_MAT_DOMCMPT
2001,746973883.941,T,EN_MAT_DOMCMPT
2002,721439946.411,T,EN_MAT_DOMCMPT
2003,714231950.78,T,EN_MAT_DOMCMPT
2004,733741902.905,T,EN_MAT_DOMCMPT
2005,724638260.689,T,EN_MAT_DOMCMPT
2006,734764069.78,T,EN_MAT_DOMCMPT
2007,723530426.8204,T,EN_MAT_DOMCMPT
2008,685205230.1477,T,EN_MAT_DOMCMPT
2009,590615761.73771,T,EN_MAT_DOMCMPT
2010,575615877.98256,T,EN_MAT_DOMCMPT
2011,583653248.276,T,EN_MAT_DOMCMPT
2012,563466867.334,T,EN_MAT_DOMCMPT
2013,573388522.57502,T,EN_MAT_DOMCMPT
2014,577602217.1403,T,EN_MAT_DOMCMPT
2015,549809679.889,T,EN_MAT_DOMCMPT
2016,534333433.0021,T,EN_MAT_DOMCMPT
2017,518875116.8222,T,EN_MAT_DOMCMPT
