Year,Value,SERIES
2005,117.648614233714,FB_ATM_TOTL
2006,120.937956776141,FB_ATM_TOTL
2007,125.802108344717,FB_ATM_TOTL
2008,125.562283428586,FB_ATM_TOTL
2009,121.152025005878,FB_ATM_TOTL
2010,121.921205690789,FB_ATM_TOTL
2011,123.415449565063,FB_ATM_TOTL
2012,125.92340945771,FB_ATM_TOTL
2013,128.513274640505,FB_ATM_TOTL
2014,129.513532531153,FB_ATM_TOTL
2015,131.285520132908,FB_ATM_TOTL
2016,129.497095016931,FB_ATM_TOTL
2017,127.937515471829,FB_ATM_TOTL
2018,115.442056623269,FB_ATM_TOTL
2019,110.279328912234,FB_ATM_TOTL
2004,29.0259600420828,FB_CBK_BRCH
2005,28.3171329150186,FB_CBK_BRCH
2006,26.4304276443193,FB_CBK_BRCH
2007,26.380866219934,FB_CBK_BRCH
2008,26.0275156947452,FB_CBK_BRCH
2009,25.4113794206217,FB_CBK_BRCH
2010,24.6989547970729,FB_CBK_BRCH
2011,24.0565123847324,FB_CBK_BRCH
2012,22.0833414414752,FB_CBK_BRCH
2013,25.1399141642588,FB_CBK_BRCH
