Year,Value,UNIT_MEASURE,SERIES
2018,41,NUMBER,SG_DSR_SILN
2019,41,NUMBER,SG_DSR_SILN
2021,42,NUMBER,SG_DSR_SILN
2018,100,PT,SG_DSR_SILS
2019,100,PT,SG_DSR_SILS
2021,100,PT,SG_DSR_SILS
2018,41,NUMBER,SG_GOV_LOGV
2019,41,NUMBER,SG_GOV_LOGV
2021,42,NUMBER,SG_GOV_LOGV
