Year,Value
2000,11.85748
2001,12.09488
2002,13.33237
2003,13.41558
2004,12.77884
2005,13.01194
2006,12.96768
2007,12.85242
2008,12.75113
2009,12.40536
2010,12.80173
2011,12.48785
2013,12.6826
2014,13.38236
2015,13.51967
2016,13.47402
2017,13.78331
