Year,SERIES,Value
2016,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],14
2016,Crude death rate attributed to ambient air pollution [3.9.1],32
2016,Crude death rate attributed to household and ambient air pollution [3.9.1],32
2016,Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1],14
