Year,Value
2000,3.14
2001,2.38
2002,1.83
2003,2.91
2004,1.75
2005,2.25
2006,1.79
2007,1.3
2008,-1.39
2009,-5.16
2010,1.06
2011,0.39
2012,0.64
2013,1.46
2014,2.17
2015,1.68
2016,1.05
2017,1.09
2018,0.63
2019,0.68
