Year,Series,Observation status,Unit multiplier,Value
2020,Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies,Normal value,Units,0.413
2020,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,Normal value,Units,0.586
2020,Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment,Normal value,Units,0.833
