Year,UPPER_BOUND,LOWER_BOUND,Value
2000,13,11,12.0
2001,13,10,11.0
2002,14,12,13.0
2003,15,12,13.0
2004,15,12,13.0
2005,17,14,15.0
2006,17,14,15.0
2007,16,13,15.0
2008,16,13,15.0
2009,16,13,15.0
2010,15,13,14.0
2011,16,13,15.0
2012,16,13,14.0
2013,14,12,13.0
2014,13,10,11.0
2015,11,9,10.0
2016,11,8.9,9.8
2017,9.8,8,8.8
2018,8.8,7.2,8.0
2019,8.8,7.2,8.0
