Year,Value
1990,794.86945
1991,804.23267
1992,783.56056
1993,764.12194
1994,754.88683
1995,748.48364
1996,770.30928
1997,744.64042
1998,742.69669
1999,712.88346
2000,711.97254
2001,714.59726
2002,694.79061
2003,701.37264
2004,697.60949
2005,690.11227
2006,683.13237
2007,671.4655
2008,650.47611
2009,594.41668
2010,608.7323
2011,563.65998
2012,580.41864
2013,566.54583
2014,526.5563
2015,509.05072
2016,484.14619
2017,473.38998
2018,466.66698
2019,453.10146
