Year,SERIES,UNIT_MEASURE,Value
2005,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,63.0
2006,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,50.0
2007,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,46.0
2008,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,48.0
2009,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,70.0
2010,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,49.0
2011,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,49.0
2012,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,45.0
2013,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,58.0
2014,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,32.0
2015,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,80.0
2016,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,44.0
2017,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,62.0
2018,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,88.0
2019,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,41.0
2005,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,63.0
2006,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,50.0
2007,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,46.0
2008,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,48.0
2009,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,70.0
2010,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,49.0
2011,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,49.0
2012,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,45.0
2013,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,58.0
2014,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,32.0
2015,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,80.0
2016,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,44.0
2017,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,62.0
2018,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,88.0
2019,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,41.0
2005,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.10428
2006,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.08276
2007,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.07502
2008,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.07764
2009,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.11243
2010,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.07808
2011,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.07743
2012,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.07064
2013,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.09048
2014,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.04954
2015,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.12287
2016,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.06702
2017,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.09388
2018,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.13246
2019,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.06138
