Year,Value
2000,29.0
2001,27.7
2002,26.8
2003,26.6
2004,26.6
2005,26.1
2006,26.2
2007,25.7
2008,25.6
2009,24.6
2010,23.2
2011,21.0
2012,19.8
2013,17.3
2014,15.5
2015,14.4
2016,13.7
2017,12.4
2018,11.9
