Year,Value
2000,78.0198240569572
2001,74.6975145964676
2002,70.5029479274496
2003,67.48279572996
2004,67.1089650180482
2005,65.8783895827333
2006,67.1813281850436
2007,67.326233317209
2008,63.5779817822166
2009,54.9197268995674
2010,57.3045890700576
2011,60.2897760219874
2012,58.7462325150056
2013,61.0514414196556
2014,61.6801948662175
2015,63.1646976740151
2016,65.3169009810372
2017,66.4065647937603
2018,66.8049792531119
2019,66.1755230557886
