Year,Value
2000,26.82175
2001,33.48109
2002,56.48
2003,64.82
2004,65.61
2005,70.0
2006,68.82
2007,75.09
2008,78.39
2009,83.56
2010,85.0
2011,85.38
2012,87.48
2013,89.8441
2014,91.61
2015,92.0003
2016,94.7758
2017,90.42455
2018,90.69201
2019,92.51663
