Year,Series,Sex,Age,Observation status,Unit multiplier,Value
2013,Median,Male,75 and over,Undefined,Units,1625.9
2013,Median,,75 and over,Undefined,Units,1522.7
2013,Percentile (2.5th),,1.5 to 3,Undefined,Units,687.8
2013,Percentile (2.5th),Female,11 to 18,Undefined,Units,891.0
2013,Percentile (2.5th),Male,11 to 18,Undefined,Units,904.7
2013,Percentile (2.5th),,11 to 18,Undefined,Units,896.7
2013,Percentile (2.5th),Female,19 to 64,Undefined,Units,745.1
2013,Percentile (2.5th),Male,19 to 64,Undefined,Units,1079.8
2013,Percentile (2.5th),,19 to 64,Undefined,Units,829.3
2013,Percentile (2.5th),Female,4 to 10,Undefined,Units,834.0
2013,Percentile (2.5th),Male,4 to 10,Undefined,Units,1014.0
2013,Percentile (2.5th),,4 to 10,Undefined,Units,865.2
2013,Percentile (2.5th),Female,65 and over,Undefined,Units,761.8
2013,Percentile (2.5th),Male,65 and over,Undefined,Units,957.7
2013,Percentile (2.5th),,65 and over,Undefined,Units,802.6
2013,Percentile (2.5th),Female,65 to 74,Undefined,Units,831.0
2013,Percentile (2.5th),Male,65 to 74,Undefined,Units,697.2
2013,Percentile (2.5th),,65 to 74,Undefined,Units,832.3
2013,Percentile (2.5th),Female,75 and over,Undefined,Units,653.3
2013,Percentile (2.5th),Male,75 and over,Undefined,Units,1086.4
2013,Percentile (2.5th),,75 and over,Undefined,Units,757.0
2015,Median,,1.5 to 3,Undefined,Units,1030.2
2015,Median,Female,11 to 18,Undefined,Units,1514.2
2015,Median,Male,11 to 18,Undefined,Units,1786.6
2015,Median,,11 to 18,Undefined,Units,1622.9
2015,Median,Female,19 to 64,Undefined,Units,1596.1
2015,Median,Male,19 to 64,Undefined,Units,2072.4
2015,Median,,19 to 64,Undefined,Units,1805.8
2015,Median,Female,4 to 10,Undefined,Units,1323.8
2015,Median,Male,4 to 10,Undefined,Units,1473.5
2015,Median,,4 to 10,Undefined,Units,1400.2
2015,Median,Female,65 and over,Undefined,Units,1389.2
2015,Median,Male,65 and over,Undefined,Units,1882.4
2015,Median,,65 and over,Undefined,Units,1592.2
2015,Median,Female,65 to 74,Undefined,Units,1398.5
2015,Median,Male,65 to 74,Undefined,Units,1976.7
2015,Median,,65 to 74,Undefined,Units,1637.2
2015,Median,Female,75 and over,Undefined,Units,1378.9
2015,Median,Male,75 and over,Undefined,Units,1746.7
2015,Median,,75 and over,Undefined,Units,1518.2
2015,Percentile (2.5th),,1.5 to 3,Undefined,Units,667.5
2015,Percentile (2.5th),Female,11 to 18,Undefined,Units,683.3
2015,Percentile (2.5th),Male,11 to 18,Undefined,Units,964.1
2015,Percentile (2.5th),,11 to 18,Undefined,Units,833.6
2015,Percentile (2.5th),Female,19 to 64,Undefined,Units,714.9
2015,Percentile (2.5th),Male,19 to 64,Undefined,Units,1007.6
2015,Percentile (2.5th),,19 to 64,Undefined,Units,815.8
2015,Percentile (2.5th),Female,4 to 10,Undefined,Units,840.4
2015,Percentile (2.5th),Male,4 to 10,Undefined,Units,893.3
2015,Percentile (2.5th),,4 to 10,Undefined,Units,852.0
2015,Percentile (2.5th),Female,65 and over,Undefined,Units,682.3
2015,Percentile (2.5th),Male,65 and over,Undefined,Units,1073.5
2015,Percentile (2.5th),,65 and over,Undefined,Units,718.1
2015,Percentile (2.5th),Female,65 to 74,Undefined,Units,681.2
2015,Percentile (2.5th),Male,65 to 74,Undefined,Units,986.2
2015,Percentile (2.5th),,65 to 74,Undefined,Units,799.1
2015,Percentile (2.5th),Female,75 and over,Undefined,Units,679.1
2015,Percentile (2.5th),Male,75 and over,Undefined,Units,1130.2
2015,Percentile (2.5th),,75 and over,Undefined,Units,709.1
2018,Median,,1.5 to 3,Undefined,Units,1040.48073936943
2018,Median,Female,11 to 18,Undefined,Units,1549.86491874641
2018,Median,Male,11 to 18,Undefined,Units,1724.71474176088
2018,Median,,11 to 18,Undefined,Units,1608.51114595434
2018,Median,Female,19 to 64,Undefined,Units,1582.37317762176
2018,Median,Male,19 to 64,Undefined,Units,1991.94384227019
2018,Median,,19 to 64,Undefined,Units,1763.25700305708
2018,Median,Female,4 to 10,Undefined,Units,1295.53469731272
2018,Median,Male,4 to 10,Undefined,Units,1521.03849115479
2018,Median,,4 to 10,Undefined,Units,1420.12398366984
2018,Median,Female,65 and over,Undefined,Units,1481.48988416276
2018,Median,Male,65 and over,Undefined,Units,1803.50717615518
2018,Median,,65 and over,Undefined,Units,1606.63959434452
2018,Median,Female,65 to 74,Undefined,Units,1497.66885055873
2018,Median,Male,65 to 74,Undefined,Units,1855.00981493918
2018,Median,,65 to 74,Undefined,Units,1630.37712196785
2018,Median,Female,75 and over,Undefined,Units,1468.90150883846
2018,Median,Male,75 and over,Undefined,Units,1691.78633348786
2018,Median,,75 and over,Undefined,Units,1557.096306895
2018,Percentile (2.5th),,1.5 to 3,Undefined,Units,617.78283518474
2018,Percentile (2.5th),Female,11 to 18,Undefined,Units,807.936189912003
2018,Percentile (2.5th),Male,11 to 18,Undefined,Units,900.763425217949
2018,Percentile (2.5th),,11 to 18,Undefined,Units,883.743196929576
2018,Percentile (2.5th),Female,19 to 64,Undefined,Units,786.592743316034
