Year,Age,Observation status,Sex,Unit multiplier,Value
2011,16 to 24,Undefined,Male,Units,16.7
2011,25 to 49,Undefined,Male,Units,11.5
2011,50 to 64,Undefined,Male,Units,14.1
2011,65 to 74,Undefined,Male,Units,14.8
2011,75 and over,Undefined,Male,Units,22.7
2012,,Undefined,,Units,16.0
2012,15 and under,Undefined,,Units,17.6
2012,16 to 24,Undefined,,Units,23.2
2012,25 to 49,Undefined,,Units,12.9
2012,50 to 64,Undefined,,Units,15.2
2012,65 to 74,Undefined,,Units,13.6
2012,75 and over,Undefined,,Units,19.8
2012,,Undefined,Female,Units,16.3
2012,15 and under,Undefined,Female,Units,18.4
2012,16 to 24,Undefined,Female,Units,21.8
2012,25 to 49,Undefined,Female,Units,13.3
2012,50 to 64,Undefined,Female,Units,14.8
2012,65 to 74,Undefined,Female,Units,14.3
2012,75 and over,Undefined,Female,Units,21.4
2012,,Undefined,Male,Units,15.8
2012,15 and under,Undefined,Male,Units,16.8
2012,16 to 24,Undefined,Male,Units,24.5
2012,25 to 49,Undefined,Male,Units,12.6
2012,50 to 64,Undefined,Male,Units,15.6
2012,65 to 74,Undefined,Male,Units,12.9
2012,75 and over,Undefined,Male,Units,17.7
2013,,Undefined,,Units,15.9
2013,15 and under,Undefined,,Units,18.1
2013,16 to 24,Undefined,,Units,22.4
2013,25 to 49,Undefined,,Units,12.9
2013,50 to 64,Undefined,,Units,14.5
2013,65 to 74,Undefined,,Units,13.2
2013,75 and over,Undefined,,Units,20.7
2013,,Undefined,Female,Units,16.4
2013,15 and under,Undefined,Female,Units,18.3
2013,16 to 24,Undefined,Female,Units,23.1
2013,25 to 49,Undefined,Female,Units,13.6
2013,50 to 64,Undefined,Female,Units,13.9
2013,65 to 74,Undefined,Female,Units,14.2
2013,75 and over,Undefined,Female,Units,22.7
2013,,Undefined,Male,Units,15.4
2013,15 and under,Undefined,Male,Units,18.0
2013,16 to 24,Undefined,Male,Units,21.7
2013,25 to 49,Undefined,Male,Units,12.3
2013,50 to 64,Undefined,Male,Units,15.1
2013,65 to 74,Undefined,Male,Units,12.2
2013,75 and over,Undefined,Male,Units,18.0
2014,,Undefined,,Units,16.8
2014,15 and under,Undefined,,Units,19.1
2014,16 to 24,Undefined,,Units,23.2
2014,25 to 49,Undefined,,Units,14.0
2014,50 to 64,Undefined,,Units,15.1
2014,65 to 74,Undefined,,Units,13.6
2014,75 and over,Undefined,,Units,22.7
2014,,Undefined,Female,Units,17.6
2014,15 and under,Undefined,Female,Units,19.0
2014,16 to 24,Undefined,Female,Units,25.3
2014,25 to 49,Undefined,Female,Units,14.1
2014,50 to 64,Undefined,Female,Units,15.5
