Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.63029
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.38275
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,24.56598
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,18.23661
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,9.93042
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,8.56806
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,7.42279
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,5.80817
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,4.68702
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,2.62134
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,1.76745
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,1.17954
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,0.62714
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,0.39669
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,1.88186
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,9.55792
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,19.83672
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,22.34296
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,25.40093
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,27.72843
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,31.5843
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,34.82636
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,36.65549
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,37.85001
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,38.96989
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",,,39.26997
2000,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,52890.0
2001,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,330960.0
2002,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,1356481.0
2003,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,3113702.33
2004,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,,6123907.0
2005,C,Office of Communications (Ofcom).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,Ofcom,Excl. corporate connections.,Excl. corporate connections.,9898653.0
