Year,SERIES,UNIT_MEASURE,Value
2018,SG_DSR_SILN,NUMBER,41
2019,SG_DSR_SILN,NUMBER,41
2021,SG_DSR_SILN,NUMBER,42
2018,SG_DSR_SILS,PT,100
2019,SG_DSR_SILS,PT,100
2021,SG_DSR_SILS,PT,100
2018,SG_GOV_LOGV,NUMBER,41
2019,SG_GOV_LOGV,NUMBER,41
2021,SG_GOV_LOGV,NUMBER,42
