Year,SERIES,Value
2000,SH_XPD_EARN10,2.0
2005,SH_XPD_EARN10,2.03
2013,SH_XPD_EARN10,1.64
2000,SH_XPD_EARN25,0.26
2005,SH_XPD_EARN25,0.34
2013,SH_XPD_EARN25,0.48
