Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2021,A,0,G,SG_INT_MBRDEV,IO_IMF,PT,0.52632
2000,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.5291
2005,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.52356
2010,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.52083
2015,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2016,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2017,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2018,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2019,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2020,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2021,A,0,G,SG_INT_MBRDEV,IO_UNGA,PT,0.51813
2000,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2005,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2010,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2015,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2016,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2017,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2018,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2019,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2020,A,0,G,SG_INT_MBRDEV,IO_UNSC,PT,6.66667
2000,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.71429
2005,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.67114
2010,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.65359
2015,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.625
2016,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.61728
2017,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.60976
2018,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.60976
2019,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.60976
2020,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.60976
2021,A,0,G,SG_INT_MBRDEV,IO_WTO,PT,0.60976
2000,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,2.003
2005,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.96
2010,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,2.154
2015,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.934
2016,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.932
2017,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.932
2018,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.9286
2019,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.92422
2020,A,0,G,SG_INT_VRTDEV,IO_ADB,PT,1.924
2000,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.75
2005,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.677
2010,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.649
2014,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.689
2015,A,0,G,SG_INT_VRTDEV,IO_AFDB,PT,1.75
