Year,Value
2000,12.0
2001,11.0
2002,13.0
2003,13.0
2004,13.0
2005,15.0
2006,15.0
2007,15.0
2008,15.0
2009,15.0
2010,14.0
2011,15.0
2012,14.0
2013,13.0
2014,11.0
2015,10.0
2016,9.8
2017,8.8
2018,8.0
2019,8.0
