Year,SERIES,UNIT_MEASURE,PRODUCT,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,BASE_PER,Value
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.34854
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.34478
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.32778
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.31371
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.31785
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.30438
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.29567
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.28399
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.2711
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.24602
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.23497
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.23623
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.22348
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.22238
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.24199
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.23478
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.22852
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.22562
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.2225
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,,A,0,G,2015,0.2142
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.16033
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.16057
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.14855
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.14072
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.14392
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.13494
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.13216
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.1301
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.11495
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.09576
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.08885
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.09115
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.08136
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.07933
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.1065
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.11285
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.11684
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.11491
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.11551
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3A,A,0,G,2015,0.11394
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00762
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00737
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00737
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00701
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00668
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.0067
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00669
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00617
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00588
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00578
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00662
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.0081
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00754
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00778
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00684
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00529
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00511
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00385
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00428
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF_AGG3B,A,0,G,2015,0.00407
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.08056
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.07412
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.0744
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.07005
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06956
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06782
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06439
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06117
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.0636
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06386
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06157
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06192
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.0599
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06263
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06448
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06295
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.05976
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.06291
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.0604
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF1,A,0,G,2015,0.05977
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.0245
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02362
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02479
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02214
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02281
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02192
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02085
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.01987
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02211
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02219
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.0202
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.0214
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.01986
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02192
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02238
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02027
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.01813
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.02121
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.01929
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF11,A,0,G,2015,0.01869
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00831
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00666
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00784
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00735
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00728
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00695
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00667
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00613
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00741
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00701
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00683
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00711
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00635
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00618
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00724
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00718
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00607
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00637
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00578
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF121,A,0,G,2015,0.00574
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.04079
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03694
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03531
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03462
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03396
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03338
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03199
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03048
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02996
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03067
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.03016
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02951
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02916
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02855
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02794
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02738
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02728
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02694
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02619
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF122,A,0,G,2015,0.02576
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00661
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00653
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00612
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00568
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00526
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00532
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.0046
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00446
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00389
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00379
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00424
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00375
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00437
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00584
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00687
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00805
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00817
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.0083
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00903
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF13,A,0,G,2015,0.00948
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00035
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00036
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00034
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00027
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00025
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00025
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00029
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00023
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00023
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.0002
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00014
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00016
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00015
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00014
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,6e-05
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,6e-05
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.00011
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,8e-05
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.0001
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF14,A,0,G,2015,0.0001
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00837
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00841
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.0083
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00849
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00819
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00792
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00813
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.008
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00668
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00375
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.0054
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00523
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00484
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00556
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00535
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.0049
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00544
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00494
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.0048
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF2,A,0,G,2015,0.00421
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.0076
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00747
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00699
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00741
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00704
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.0068
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00704
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00705
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00581
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00299
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00445
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00431
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.0042
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00476
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00501
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00441
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00452
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00375
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.00384
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF21,A,0,G,2015,0.0033
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00076
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00094
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00132
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00108
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00115
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00112
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.0011
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00095
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00087
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00077
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00095
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00092
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00065
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.0008
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00034
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00049
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00092
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00119
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00096
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF22,A,0,G,2015,0.00092
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.16796
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.16794
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.15591
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.14773
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.1506
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.14164
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.13885
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.13627
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.12084
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.10154
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.09548
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.09925
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.08889
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.08711
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.11334
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.11815
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.12195
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.11876
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.11979
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF3,A,0,G,2015,0.11801
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.09872
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.09904
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.09348
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.09068
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.093
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.08927
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.08618
2007,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.0801
2008,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.08157
2009,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.07797
2010,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.07371
2011,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.07144
2012,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.07146
2013,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.06804
2014,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.06015
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.05068
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.04445
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.04294
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.04227
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF4,A,0,G,2015,0.03768
2000,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02728
2001,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.03188
2002,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.0269
2003,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02668
2004,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02642
2005,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02706
2006,EN_MAT_DOMCMPG,KG_PER_CON_USD,MF41,A,0,G,2015,0.02821
