Year,COMPOSITE_BREAKDOWN,Value
2015,FIS_POSTFIS_DIS_INC,36.0173
2016,FIS_POSTFIS_DIS_INC,34.8
2017,FIS_POSTFIS_DIS_INC,35.4
2018,FIS_POSTFIS_DIS_INC,36.1
2015,FIS_PREFIS_INC,46.99128
2016,FIS_PREFIS_INC,45.4
2017,FIS_PREFIS_INC,45.4
2018,FIS_PREFIS_INC,45.9
