Year,SEX,Value
2000,,35.2
2005,,31.6
2010,,25.4
2015,,21.3
2016,,20.6
2017,,19.8
2018,,19.2
2000,F,33.9
2005,F,31.9
2010,F,23.9
2015,F,19.4
2016,F,18.7
2017,F,17.9
2018,F,17.3
2000,M,36.5
2005,M,31.3
2010,M,27.0
2015,M,23.2
2016,M,22.4
2017,M,21.8
2018,M,21.1
