Year,SOURCE_DETAIL,SERIES,COMPOSITE_BREAKDOWN,Value
2020,CHM / WESR ,ER_BDY_ABT2NP,ABT2_ACHIEVE,1
2020,UNSTATS / WESR ,ER_BDY_SEEA,LS_COMPDISSE,1
