Year,Age,Sex,Disability status,Ethnicity,Ethnic group,Employment status,Region,Local Authority,Observation status,Unit multiplier,GeoCode,Value
2018,,,,,,,South West,"Bath and North East Somerset, North Somerset and South Gloucestershire",Undefined,Units,,93.0
2019,,,,,,,South West,"Bath and North East Somerset, North Somerset and South Gloucestershire",Undefined,Units,,93.2
2020,,,,,,,South West,"Bath and North East Somerset, North Somerset and South Gloucestershire",Undefined,Units,,95.2
2013,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,79.2
2014,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,87.7
2015,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,87.3
2016,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,86.8
2017,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,93.5
2018,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,91.5
2019,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,94.8
2020,,,,,,,South West,Bournemouth and Poole,Undefined,Units,,95.2
2013,,,,,,,South West,"Bristol, City of",Undefined,Units,,85.0
2014,,,,,,,South West,"Bristol, City of",Undefined,Units,,89.7
2015,,,,,,,South West,"Bristol, City of",Undefined,Units,,91.3
2016,,,,,,,South West,"Bristol, City of",Undefined,Units,,94.9
2017,,,,,,,South West,"Bristol, City of",Undefined,Units,,89.0
2018,,,,,,,South West,"Bristol, City of",Undefined,Units,,92.8
2019,,,,,,,South West,"Bristol, City of",Undefined,Units,,95.4
2020,,,,,,,South West,"Bristol, City of",Undefined,Units,,94.7
2013,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,81.6
2014,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,83.2
2015,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,79.9
2016,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,88.1
2017,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,82.1
2018,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,85.0
2019,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,91.0
2020,,,,,,,South West,Cornwall and Isles of Scilly,Undefined,Units,,90.0
2013,,,,,,,South West,Devon CC,Undefined,Units,,83.9
2014,,,,,,,South West,Devon CC,Undefined,Units,,84.8
2015,,,,,,,South West,Devon CC,Undefined,Units,,86.3
2016,,,,,,,South West,Devon CC,Undefined,Units,,87.8
2017,,,,,,,South West,Devon CC,Undefined,Units,,89.4
2018,,,,,,,South West,Devon CC,Undefined,Units,,89.2
2019,,,,,,,South West,Devon CC,Undefined,Units,,91.0
2020,,,,,,,South West,Devon CC,Undefined,Units,,89.2
2013,,,,,,,South West,Dorset CC,Undefined,Units,,78.6
2014,,,,,,,South West,Dorset CC,Undefined,Units,,84.0
2015,,,,,,,South West,Dorset CC,Undefined,Units,,87.4
2016,,,,,,,South West,Dorset CC,Undefined,Units,,89.3
2017,,,,,,,South West,Dorset CC,Undefined,Units,,92.4
2018,,,,,,,South West,Dorset CC,Undefined,Units,,88.2
2019,,,,,,,South West,Dorset CC,Undefined,Units,,90.0
2020,,,,,,,South West,Dorset CC,Undefined,Units,,93.1
2013,,,,,,,South West,Gloucestershire,Undefined,Units,,83.9
2014,,,,,,,South West,Gloucestershire,Undefined,Units,,89.8
2015,,,,,,,South West,Gloucestershire,Undefined,Units,,90.6
2016,,,,,,,South West,Gloucestershire,Undefined,Units,,92.1
2017,,,,,,,South West,Gloucestershire,Undefined,Units,,89.8
2018,,,,,,,South West,Gloucestershire,Undefined,Units,,90.1
2019,,,,,,,South West,Gloucestershire,Undefined,Units,,91.4
2020,,,,,,,South West,Gloucestershire,Undefined,Units,,94.1
2013,,,,,,,South West,Plymouth,Undefined,Units,E06000026,83.5
2014,,,,,,,South West,Plymouth,Undefined,Units,E06000026,82.2
2015,,,,,,,South West,Plymouth,Undefined,Units,E06000026,86.4
2016,,,,,,,South West,Plymouth,Undefined,Units,E06000026,86.2
2017,,,,,,,South West,Plymouth,Undefined,Units,E06000026,92.0
2018,,,,,,,South West,Plymouth,Undefined,Units,E06000026,86.8
2019,,,,,,,South West,Plymouth,Undefined,Units,E06000026,90.6
2020,,,,,,,South West,Plymouth,Undefined,Units,E06000026,95.4
2013,,,,,,,South West,Somerset,Undefined,Units,,82.0
2014,,,,,,,South West,Somerset,Undefined,Units,,87.1
2015,,,,,,,South West,Somerset,Undefined,Units,,87.1
2016,,,,,,,South West,Somerset,Undefined,Units,,88.2
2017,,,,,,,South West,Somerset,Undefined,Units,,90.2
2018,,,,,,,South West,Somerset,Undefined,Units,,87.6
2019,,,,,,,South West,Somerset,Undefined,Units,,92.7
2020,,,,,,,South West,Somerset,Undefined,Units,,95.2
2013,,,,,,,South West,Swindon,Undefined,Units,E06000030,89.5
2014,,,,,,,South West,Swindon,Undefined,Units,E06000030,93.4
2015,,,,,,,South West,Swindon,Undefined,Units,E06000030,93.0
2016,,,,,,,South West,Swindon,Undefined,Units,E06000030,90.4
2017,,,,,,,South West,Swindon,Undefined,Units,E06000030,95.8
2018,,,,,,,South West,Swindon,Undefined,Units,E06000030,93.9
2019,,,,,,,South West,Swindon,Undefined,Units,E06000030,95.3
2020,,,,,,,South West,Swindon,Undefined,Units,E06000030,91.4
2013,,,,,,,South West,Torbay,Undefined,Units,E06000027,84.1
2014,,,,,,,South West,Torbay,Undefined,Units,E06000027,82.9
2015,,,,,,,South West,Torbay,Undefined,Units,E06000027,84.0
2016,,,,,,,South West,Torbay,Undefined,Units,E06000027,95.1
2017,,,,,,,South West,Torbay,Undefined,Units,E06000027,80.1
2018,,,,,,,South West,Torbay,Undefined,Units,E06000027,93.7
2019,,,,,,,South West,Torbay,Undefined,Units,E06000027,90.6
2020,,,,,,,South West,Torbay,Undefined,Units,E06000027,96.3
2013,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,88.6
2014,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,89.2
2015,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,87.4
2016,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,89.7
2017,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,90.8
2018,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,89.6
2019,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,92.2
2020,,,,,,,South West,Wiltshire,Undefined,Units,E06000054,94.9
2013,,,,,,,South West,,Undefined,Units,E12000009,83.7
2014,,,,,,,South West,,Undefined,Units,E12000009,86.7
2015,,,,,,,South West,,Undefined,Units,E12000009,87.2
2016,,,,,,,South West,,Undefined,Units,E12000009,89.8
2017,,,,,,,South West,,Undefined,Units,E12000009,89.2
2018,,,,,,,South West,,Undefined,Units,E12000009,89.8
2019,,,,,,,South West,,Undefined,Units,E12000009,92.3
2020,,,,,,,South West,,Undefined,Units,E12000009,93.3
2013,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,78.8
2014,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,81.5
2015,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,84.9
2016,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,86.9
2017,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,88.7
2018,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,87.7
2019,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,86.8
2020,,,,,,,Wales,Bridgend and Neath Port Talbot,Undefined,Units,,90.7
2013,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,84.7
2014,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,88.6
2015,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,86.8
2016,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,86.8
2017,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,89.5
2018,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,93.2
2019,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,94.9
2020,,,,,,,Wales,Cardiff and Vale of Glamorgan,Undefined,Units,,94.6
2013,,,,,,,Wales,Central Valleys,Undefined,Units,,74.3
2014,,,,,,,Wales,Central Valleys,Undefined,Units,,78.2
2015,,,,,,,Wales,Central Valleys,Undefined,Units,,79.6
2016,,,,,,,Wales,Central Valleys,Undefined,Units,,81.8
2017,,,,,,,Wales,Central Valleys,Undefined,Units,,81.5
2018,,,,,,,Wales,Central Valleys,Undefined,Units,,84.8
2019,,,,,,,Wales,Central Valleys,Undefined,Units,,92.4
2020,,,,,,,Wales,Central Valleys,Undefined,Units,,84.7
2013,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,78.8
2014,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,78.8
2015,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,80.3
2016,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,80.6
2017,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,76.9
2018,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,86.8
2019,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,87.7
2020,,,,,,,Wales,Conwy and Denbighshire,Undefined,Units,,89.8
2013,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,80.3
2014,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,87.8
2015,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,84.0
2016,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,84.6
2017,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,89.4
2018,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,89.9
2019,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,94.0
2020,,,,,,,Wales,Flintshire and Wrexham,Undefined,Units,,90.2
2013,,,,,,,Wales,Gwent Valleys,Undefined,Units,,74.7
2014,,,,,,,Wales,Gwent Valleys,Undefined,Units,,71.9
2015,,,,,,,Wales,Gwent Valleys,Undefined,Units,,86.2
2016,,,,,,,Wales,Gwent Valleys,Undefined,Units,,89.7
2017,,,,,,,Wales,Gwent Valleys,Undefined,Units,,86.6
2018,,,,,,,Wales,Gwent Valleys,Undefined,Units,,88.2
2019,,,,,,,Wales,Gwent Valleys,Undefined,Units,,85.5
2020,,,,,,,Wales,Gwent Valleys,Undefined,Units,,85.7
2013,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,84.6
2014,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,90.4
2015,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,85.8
2016,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,86.5
2017,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,78.9
2018,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,88.1
2019,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,92.7
2020,,,,,,,Wales,Gwynedd,Undefined,Units,W06000002,92.0
2013,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,68.8
2014,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,92.6
2015,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,58.2
2016,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,89.1
2017,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,97.8
2018,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,86.7
2019,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,75.7
2020,,,,,,,Wales,Isle of Anglesey,Undefined,Units,W06000001,91.3
2013,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,85.4
2014,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,81.6
2015,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,86.1
2016,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,83.9
2017,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,86.6
2018,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,93.6
2019,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,87.2
2020,,,,,,,Wales,Monmouthshire and Newport,Undefined,Units,,95.8
2013,,,,,,,Wales,Powys,Undefined,Units,W06000023,79.9
2014,,,,,,,Wales,Powys,Undefined,Units,W06000023,75.9
2015,,,,,,,Wales,Powys,Undefined,Units,W06000023,84.1
2016,,,,,,,Wales,Powys,Undefined,Units,W06000023,88.5
2017,,,,,,,Wales,Powys,Undefined,Units,W06000023,83.6
2018,,,,,,,Wales,Powys,Undefined,Units,W06000023,86.2
2019,,,,,,,Wales,Powys,Undefined,Units,W06000023,85.6
2020,,,,,,,Wales,Powys,Undefined,Units,W06000023,79.7
2013,,,,,,,Wales,South West Wales,Undefined,Units,,72.8
2014,,,,,,,Wales,South West Wales,Undefined,Units,,78.3
2015,,,,,,,Wales,South West Wales,Undefined,Units,,77.0
2016,,,,,,,Wales,South West Wales,Undefined,Units,,86.1
2017,,,,,,,Wales,South West Wales,Undefined,Units,,86.7
2018,,,,,,,Wales,South West Wales,Undefined,Units,,86.3
2019,,,,,,,Wales,South West Wales,Undefined,Units,,86.7
2020,,,,,,,Wales,South West Wales,Undefined,Units,,89.1
2013,,,,,,,Wales,Swansea,Undefined,Units,W06000011,83.6
2014,,,,,,,Wales,Swansea,Undefined,Units,W06000011,83.2
2015,,,,,,,Wales,Swansea,Undefined,Units,W06000011,80.2
2016,,,,,,,Wales,Swansea,Undefined,Units,W06000011,83.4
2017,,,,,,,Wales,Swansea,Undefined,Units,W06000011,95.5
2018,,,,,,,Wales,Swansea,Undefined,Units,W06000011,90.0
2019,,,,,,,Wales,Swansea,Undefined,Units,W06000011,93.4
2020,,,,,,,Wales,Swansea,Undefined,Units,W06000011,94.7
2013,,,,,,,Wales,,Undefined,Units,W92000004,79.1
2014,,,,,,,Wales,,Undefined,Units,W92000004,81.7
2015,,,,,,,Wales,,Undefined,Units,W92000004,82.5
2016,,,,,,,Wales,,Undefined,Units,W92000004,85.5
2017,,,,,,,Wales,,Undefined,Units,W92000004,86.9
2018,,,,,,,Wales,,Undefined,Units,W92000004,88.9
2019,,,,,,,Wales,,Undefined,Units,W92000004,89.6
2020,,,,,,,Wales,,Undefined,Units,W92000004,90.2
2013,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,77.4
2014,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,81.2
2015,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,82.0
2016,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,87.3
2017,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,88.5
2018,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,88.6
2019,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,91.4
2020,,,,,,,West Midlands,Birmingham,Undefined,Units,E08000025,91.3
2013,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,78.8
2014,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,78.2
2015,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,86.8
2016,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,89.5
2017,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,91.8
2018,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,88.1
2019,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,84.8
2020,,,,,,,West Midlands,Coventry,Undefined,Units,E08000026,96.8
2017,,,,,,,West Midlands,Dudley,Undefined,Units,E08000027,79.8
2018,,,,,,,West Midlands,Dudley,Undefined,Units,E08000027,85.8
2019,,,,,,,West Midlands,Dudley,Undefined,Units,E08000027,87.1
2020,,,,,,,West Midlands,Dudley,Undefined,Units,E08000027,90.5
2013,,,,,,,West Midlands,Dudley and Sandwell,Undefined,Units,,78.3
2014,,,,,,,West Midlands,Dudley and Sandwell,Undefined,Units,,81.7
2015,,,,,,,West Midlands,Dudley and Sandwell,Undefined,Units,,86.3
2016,,,,,,,West Midlands,Dudley and Sandwell,Undefined,Units,,82.5
2013,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,72.0
2014,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,84.8
2015,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,84.8
2016,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,82.2
2017,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,79.4
2018,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,92.8
2019,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,93.4
2020,,,,,,,West Midlands,"Herefordshire, County of",Undefined,Units,,89.5
2017,,,,,,,West Midlands,Sandwell,Undefined,Units,E08000028,77.0
2018,,,,,,,West Midlands,Sandwell,Undefined,Units,E08000028,87.0
2019,,,,,,,West Midlands,Sandwell,Undefined,Units,E08000028,87.1
2020,,,,,,,West Midlands,Sandwell,Undefined,Units,E08000028,84.6
2013,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,80.3
2014,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,88.4
2015,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,80.2
2016,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,82.7
2017,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,87.6
2018,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,84.0
2019,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,92.6
2020,,,,,,,West Midlands,Shropshire CC,Undefined,Units,,91.5
2013,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,83.5
2014,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,83.0
2015,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,90.3
2016,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,82.2
2017,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,84.0
2018,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,90.5
2019,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,96.0
2020,,,,,,,West Midlands,Solihull,Undefined,Units,E08000029,95.5
2013,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,82.2
2014,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,81.2
2015,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,86.0
2016,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,83.1
2017,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,88.5
2018,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,91.0
2019,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,89.2
2020,,,,,,,West Midlands,Staffordshire CC,Undefined,Units,,87.9
2013,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,73.8
2014,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,88.3
2015,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,86.6
2016,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,87.7
2017,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,80.0
2018,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,90.2
2019,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,83.6
2020,,,,,,,West Midlands,Stoke-on-Trent,Undefined,Units,E06000021,87.3
2013,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,87.9
2014,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,92.3
2015,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,87.3
2016,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,93.6
2017,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,91.8
2018,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,87.2
2019,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,90.4
2020,,,,,,,West Midlands,Telford and Wrekin,Undefined,Units,E06000020,92.5
2017,,,,,,,West Midlands,Walsall,Undefined,Units,E08000030,87.3
2018,,,,,,,West Midlands,Walsall,Undefined,Units,E08000030,85.6
2019,,,,,,,West Midlands,Walsall,Undefined,Units,E08000030,88.9
2020,,,,,,,West Midlands,Walsall,Undefined,Units,E08000030,88.5
2013,,,,,,,West Midlands,Walsall and Wolverhampton,Undefined,Units,,75.2
2014,,,,,,,West Midlands,Walsall and Wolverhampton,Undefined,Units,,73.2
2015,,,,,,,West Midlands,Walsall and Wolverhampton,Undefined,Units,,78.7
2016,,,,,,,West Midlands,Walsall and Wolverhampton,Undefined,Units,,82.1
2013,,,,,,,West Midlands,Warwickshire,Undefined,Units,,80.4
2014,,,,,,,West Midlands,Warwickshire,Undefined,Units,,83.1
2015,,,,,,,West Midlands,Warwickshire,Undefined,Units,,90.7
2016,,,,,,,West Midlands,Warwickshire,Undefined,Units,,90.8
2017,,,,,,,West Midlands,Warwickshire,Undefined,Units,,89.6
2018,,,,,,,West Midlands,Warwickshire,Undefined,Units,,89.4
2019,,,,,,,West Midlands,Warwickshire,Undefined,Units,,88.0
2020,,,,,,,West Midlands,Warwickshire,Undefined,Units,,96.0
2017,,,,,,,West Midlands,Wolverhampton,Undefined,Units,E08000031,78.4
2018,,,,,,,West Midlands,Wolverhampton,Undefined,Units,E08000031,85.6
2019,,,,,,,West Midlands,Wolverhampton,Undefined,Units,E08000031,77.1
2020,,,,,,,West Midlands,Wolverhampton,Undefined,Units,E08000031,84.3
2013,,,,,,,West Midlands,Worcestershire,Undefined,Units,,85.7
2014,,,,,,,West Midlands,Worcestershire,Undefined,Units,,85.7
2015,,,,,,,West Midlands,Worcestershire,Undefined,Units,,87.7
2016,,,,,,,West Midlands,Worcestershire,Undefined,Units,,87.3
2017,,,,,,,West Midlands,Worcestershire,Undefined,Units,,88.3
2018,,,,,,,West Midlands,Worcestershire,Undefined,Units,,90.7
2019,,,,,,,West Midlands,Worcestershire,Undefined,Units,,88.4
2020,,,,,,,West Midlands,Worcestershire,Undefined,Units,,92.8
2013,,,,,,,West Midlands,,Undefined,Units,E12000005,79.6
2014,,,,,,,West Midlands,,Undefined,Units,E12000005,82.2
2015,,,,,,,West Midlands,,Undefined,Units,E12000005,85.1
2016,,,,,,,West Midlands,,Undefined,Units,E12000005,85.7
2017,,,,,,,West Midlands,,Undefined,Units,E12000005,86.4
2018,,,,,,,West Midlands,,Undefined,Units,E12000005,88.7
2019,,,,,,,West Midlands,,Undefined,Units,E12000005,88.7
2020,,,,,,,West Midlands,,Undefined,Units,E12000005,90.9
2013,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,79.2
2014,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,82.2
2015,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,81.9
2016,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,78.3
2017,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,88.0
2018,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,85.1
2019,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,88.6
2020,,,,,,,Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",Undefined,Units,,90.0
2013,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,83.8
2014,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,82.2
2015,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,87.3
2016,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,84.8
2017,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,87.3
2018,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,87.3
2019,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,90.5
2020,,,,,,,Yorkshire and the Humber,Bradford,Undefined,Units,E08000032,91.8
2017,,,,,,,Yorkshire and the Humber,Calderdale and Kirklees,Undefined,Units,,85.9
2018,,,,,,,Yorkshire and the Humber,Calderdale and Kirklees,Undefined,Units,,91.5
2019,,,,,,,Yorkshire and the Humber,Calderdale and Kirklees,Undefined,Units,,89.2
2020,,,,,,,Yorkshire and the Humber,Calderdale and Kirklees,Undefined,Units,,88.8
2013,,,,,,,Yorkshire and the Humber,"Calderdale, Kirklees and Wakefield",Undefined,Units,,83.7
2014,,,,,,,Yorkshire and the Humber,"Calderdale, Kirklees and Wakefield",Undefined,Units,,81.5
2015,,,,,,,Yorkshire and the Humber,"Calderdale, Kirklees and Wakefield",Undefined,Units,,84.8
2016,,,,,,,Yorkshire and the Humber,"Calderdale, Kirklees and Wakefield",Undefined,Units,,89.1
2013,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,83.9
2014,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,84.9
2015,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,86.1
2016,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,89.2
2017,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,87.7
2018,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,85.6
2019,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,85.2
2020,,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Undefined,Units,E06000011,93.2
2013,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,80.4
2014,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,82.9
2015,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,89.7
2016,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,82.6
2017,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,89.1
2018,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,91.6
2019,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,85.8
2020,,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Undefined,Units,,85.2
2013,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,82.3
2014,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,86.9
2015,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,87.0
2016,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,87.8
2017,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,87.1
2018,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,91.1
2019,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,94.9
2020,,,,,,,Yorkshire and the Humber,Leeds,Undefined,Units,E08000035,90.6
2013,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,78.2
2014,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,82.7
2015,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,80.7
2016,,,,,,,Yorkshire and the Humber,North and North East Lincolnshire,Undefined,Units,,89.5
