Year,UNIT_MULT,SOURCE_DETAIL,SERIES,ACTIVITY,UNIT_MEASURE,BASE_PER,Value
2007,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.19195
2008,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.18739
2009,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.17728
2010,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.18014
2011,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.16347
2012,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.16926
2013,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.16052
2014,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.14303
2015,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.13473
2016,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.12492
2017,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.11852
2018,0,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2GDP,,KG_PER_CON_USD,2017,0.11449
