Year,COMPOSITE_BREAKDOWN,Value
2000,,85.6011
2010,,85.56868
2015,,85.56103
2018,,85.5756
2000,ELV_5,4.7619
2010,ELV_5,3.06122
2015,ELV_5,3.06122
2018,ELV_5,3.06122
2000,ELV_6,85.86166
2010,ELV_6,85.83462
2015,ELV_6,85.82695
2018,ELV_6,85.84156
