Year,Value,GeoCode,Observation status,Unit multiplier
2013,12.8792071523099,,Undefined,Units
2014,12.9498697828202,,Undefined,Units
2015,12.9956851985236,,Undefined,Units
2016,13.0137973288595,,Undefined,Units
2017,13.033964532626,,Undefined,Units
2018,13.0780510974055,,Undefined,Units
2019,13.1757573246856,,Undefined,Units
2020,13.2467105930022,,Undefined,Units
2021,13.3016182322575,,Undefined,Units
