Year,Value
2000,0.9618
2001,0.8528
2002,0.97
2003,0.9349
2004,1.1371
2005,1.3521
2006,1.5537
2007,1.8394
2008,2.7881
2009,3.3778
2010,3.6665
2011,4.4357
2012,4.7691
2013,6.0176
2014,7.3604
2015,8.5877
2016,8.6801
2017,9.7206
2018,11.045
