Year,Value,Observation status,Unit multiplier
2008,8.5,Normal value,Units
2009,8.0,Normal value,Units
2010,7.4,Normal value,Units
2011,6.9,Normal value,Units
2012,8.6,Normal value,Units
2013,7.8,Normal value,Units
2014,6.5,Normal value,Units
2015,7.3,Normal value,Units
2016,9.4,Normal value,Units
2017,7.8,Normal value,Units
2018,8.6,Normal value,Units
