Year,Value,GeoCode,Observation status,Unit multiplier
2013,29.0769984189,,Undefined,Units
2014,23.7163627050474,,Undefined,Units
2015,25.418509227011,,Undefined,Units
2016,23.5193567200026,,Undefined,Units
2017,23.4251156215706,,Undefined,Units
