Year,Value,GeoCode,Observation status,Unit multiplier
2010,40.3580152784,,Undefined,Units
2011,42.8948444438656,,Undefined,Units
2012,43.871805161279,,Undefined,Units
2013,44.0933406323292,,Undefined,Units
2014,44.9155158569077,,Undefined,Units
2015,44.2182521220642,,Undefined,Units
2016,44.6821035326539,,Undefined,Units
2017,44.9592330633709,,Undefined,Units
